Kommunkod:,Verksamhetsnamn:,Driftsform,Enhetsnamn:,Bes?ksadress:,Telefonnummer:,Webbplats:,E-post:,?ppet fr?n:,?ppet till:,Platser per enhet:
136,F?RSKOLA,OFFENTLIG,Alen,J?rn?ldersringen 459 13665 HANINGE,08-606 74 21,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Alprosen,J?kelv?gen 2 13649 VEGA,08-606 70 66,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Aspen,Eskilsv?gen 2 13643 HANDEN,08-606 70 22,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,ENSKILD,F?rskolan Bj?rken/Pysslingen,Vallav?gen 446 13641 HANDEN,076-947 44 58,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
136,FRITIDSHEM,OFFENTLIG,B?tsmanskolans fritidshem,J?rn?ldersringen 883 13665 HANINGE,08-606 80 81,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,07:00,18:00,
136,FRITIDSHEM,OFFENTLIG,Sk?rg?rdsskolans fritidshem,Odinsv?gen 33 13770 DALAR?,08-606 51 50,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Dalar? f?rskola,Odinsv?gen 26 13070 DALAR?,08-606 51 50,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Eken,Eskilsv?gen 6 13643 HANDEN,08-606 74 77,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,ENSKILD,Ekorren,Vallav?gen 100 13641 HANDEN,08-606 74 41,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
136,F?RSKOLA,OFFENTLIG,Hasseln,Runstensv?gen 27 13646 HANDEN,08-606 74 05,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Kastanjen,Vallav?gen 1 13641 HANDEN,08-606 74 77,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,FRITIDSHEM,OFFENTLIG,M?s?skolan fritidshem,M?s?v?gen 3 13649 VEGA,08-606 76 18,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,07:00,18:00,
136,FRITIDSHEM,OFFENTLIG,Orn? fritidshem,Orn? skola 13055 ORN?,08-606 51 40,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Orn? f?rskola,Orn? skola 13055 ORN?,08-606 51 42,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Piren,Myrmalmsringen 120 13665 HANINGE,08-606 83 94,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,FRITIDSHEM,OFFENTLIG,Runstensskolan fritidshem,Runstensv?gen 9 13645 HANDEN,08-606 80 89,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,07:00,18:00,
136,F?RSKOLA,ENSKILD,Sagan,Verdandiv?gen 2 13654 DALAR?,08-501 516 84,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
136,F?RSKOLA,OFFENTLIG,Syrenen,Runstensv?gen 30 13646 HANDEN,08-606 8838,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Tallen,Sleipnerv?gen 2A 13642 HANDEN,08-606 74 77,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,FRITIDSHEM,OFFENTLIG,Ut? fritidshem,Ut? skola 13056 UT?,08-606 51 11,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Ut? f?rskola,Ut? skola 13056 UT?,08-606 51 15,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,FRITIDSHEM,OFFENTLIG,Vikingaskolan fritidshem,Sleipnerv?gen 2 13642 HANDEN,08-606 80 97,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,07:00,18:00,
136,F?RSKOLA,OFFENTLIG,Anden,Evertsbergsv?gen 2 13667 VENDELS?,08-606 91 56,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Dragspelet,Tvillingarnas gata 343 13663 HANINGE,08-606 78 58,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,OFFENTLIG,Fasanen,Svartv?ndan 2 13659 VENDELS?,08-606 89 09,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,F?RSKOLA,ENSKILD,Flygande mattan,Tvillingarnas gata 322 13660 HANINGE,08-745 23 32,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
136,FRITIDSHEM,ENSKILD,Flygande mattan,Tvillingarnas gata 322 13660 HANINGE,08-745 23 32,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
136,F?RSKOLA,OFFENTLIG,Gladan,Kaptensv?gen 27 13670 VENDELS?,08-606 75 78,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,06:30,18:30,
136,FRITIDSHEM,OFFENTLIG,Hagaskolan fritidshem,Skomakarv?gen 1-3 13671 VENDELS?,08-606 86 25,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,07:00,18:00,
136,F?RSKOLA,ENSKILD,Haninge Montessoriskola,Hantverkarv?gen 25B 13644 HANDEN,08-777 83 88,http://haninge.se/forskola-och-skola/forskola-och-barnomsorg/forskolor/,,,,
